"","month","year","coredata.morain.","coredata.motemp."
"215","08","2004",0,64.5967741935484
"216","09","2004",0.02,64.7
"217","10","2004",5.8,59.0483870967742
"218","11","2004",2.2,53.0833333333333
"219","12","2004",10.28,51.4516129032258
"220","01","2005",5.98,50.758064516129
"221","02","2005",6.26,54.3392857142857
"222","03","2005",7.65,56.0806451612903
"223","04","2005",3.03,55.3333333333333
"224","05","2005",1.34,60.1451612903226
"225","06","2005",1.05,61.3333333333333
"226","07","2005",0.01,63.4516129032258
"227","08","2005",0.02,63.4193548387097
"228","09","2005",0.01,61.25
"229","10","2005",0.12,59.1935483870968
"230","11","2005",1.86,57.4666666666667
"231","12","2005",12.62,52.1612903225806
"232","01","2006",6.37,50.7741935483871
"233","02","2006",2.76,52.3214285714286
"234","03","2006",10.99,49.9354838709677
"235","04","2006",7,54.7166666666667
"236","05","2006",0.78,59.8387096774194
"237","06","2006",0,62.9166666666667
"238","07","2006",0,65.2903225806452
"239","08","2006",0,62.3548387096774
"240","09","2006",0,61.4166666666667
"241","10","2006",0.14,59.6290322580645
"242","11","2006",3.26,54.8333333333333
"243","12","2006",4.73,49.7258064516129
"244","01","2007",0.8,47.5645161290323
"245","02","2007",5.86,51.7142857142857
"246","03","2007",0.33,55.4354838709677
"247","04","2007",1.53,55.9666666666667
"248","05","2007",0.55,58.2741935483871
"249","06","2007",0,61.5166666666667
"250","07","2007",0,64.2258064516129
"251","08","2007",0.01,64.1451612903226
"252","09","2007",0.38,62.9333333333333
"253","10","2007",1.4,59.2096774193548
"254","11","2007",0.54,55.0166666666667
"255","12","2007",3.83,48.3548387096774
"256","01","2008",12.16,48.0806451612903
"257","02","2008",6.1,50.9310344827586
"258","03","2008",0.51,53.3225806451613
"259","04","2008",0.48,55.5666666666667
"260","05","2008",0,58.2903225806452
"261","06","2008",0,62.3666666666667
"262","07","2008",0.01,63.5645161290323
"263","08","2008",0,63.7903225806452
"264","09","2008",0.01,64.4666666666667
"265","10","2008",0.8,61.7741935483871
"266","11","2008",1.94,57.3666666666667
"267","12","2008",3,48.5
"268","01","2009",1.84,52.5322580645161
"269","02","2009",10.3,51.8214285714286
"270","03","2009",2.07,53.3387096774194
"271","04","2009",0.42,56.3666666666667
"272","05","2009",1.67,59.0645161290323
"273","06","2009",0,62.0833333333333
"274","07","2009",0,63.9193548387097
"275","08","2009",0.02,65.9193548387097
"276","09","2009",0.36,65.6833333333333
"277","10","2009",4.08,59.9838709677419
"278","11","2009",0.19,54.5
"279","12","2009",4.06,49.1774193548387
"280","01","2010",8.19,51.8064516129032
"281","02","2010",5.78,53.1607142857143
"282","03","2010",3.17,53.7096774193548
"283","04","2010",4.49,54.4166666666667
"284","05","2010",0.74,57.758064516129
"285","06","2010",0,62.6666666666667
"286","07","2010",0.02,61.5161290322581
"287","08","2010",0.03,62.8870967741936
"288","09","2010",0.01,65.15
"289","10","2010",3.16,60.0322580645161
"290","11","2010",4.05,53.1
"291","12","2010",9.4,50.9354838709677
"292","01","2011",2.17,51.5806451612903
"293","02","2011",5.75,49.9821428571429
"294","03","2011",10.87,54.2741935483871
"295","04","2011",0.66,56.85
"296","05","2011",1.53,57.2903225806452
"297","06","2011",2.35,60.3833333333333
"298","07","2011",0.01,63.4516129032258
"299","08","2011",0.06,62.4677419354839
"300","09","2011",0.05,63.1833333333333
"301","10","2011",2.63,62.0645161290323
"302","11","2011",2.54,52.3666666666667
"303","12","2011",0.13,48.7258064516129
"304","01","2012",3.68,50.3870967741936
"305","02","2012",0.94,52.8275862068966
"306","03","2012",7.38,53.758064516129
"307","04","2012",3.1,56.8666666666667
